epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8712,0.98808,2.00228,1.16501,0.92691,0.58304,0.68567,0.48256,0.98021,2.03287,1.14926,6.25e-05,6.25e-05,6.25e-05
2,55.1264,0.9691,1.97891,1.16375,0.86405,0.58425,0.66775,0.49113,1.02214,2.08781,1.20298,0.000128425,0.000128425,0.000128425
3,79.7223,0.9416,1.79282,1.17301,0.86412,0.59801,0.65635,0.5148,0.93768,2.4674,1.15782,0.00018445,0.00018445,0.00018445
4,104.413,0.9574,1.92439,1.12584,0.80515,0.59674,0.65658,0.51293,0.94247,2.35348,1.14389,0.000230575,0.000230575,0.000230575
5,129.491,0.97136,1.69025,1.15121,0.84783,0.60893,0.67807,0.5162,0.88192,1.87939,1.13304,0.0002668,0.0002668,0.0002668
6,154.395,0.87921,2.10824,1.0919,0.78486,0.63903,0.68061,0.52591,0.90943,2.00691,1.12702,0.000293125,0.000293125,0.000293125
7,178.752,0.97324,2.28741,1.15191,0.80603,0.60018,0.67395,0.47872,1.00655,2.15799,1.15138,0.00030955,0.00030955,0.00030955
8,203.893,0.88462,2.09909,1.11953,0.75566,0.59488,0.68818,0.47726,1.03724,2.26264,1.17608,0.000316075,0.000316075,0.000316075
9,228.378,0.94392,2.18781,1.13611,0.72774,0.63566,0.71307,0.52534,0.94901,2.09524,1.12183,0.0003127,0.0003127,0.0003127
10,253.486,0.87427,2.10688,1.09626,0.82041,0.69185,0.76034,0.54558,0.95755,2.02394,1.11617,0.000299425,0.000299425,0.000299425
11,278.428,0.89879,2.07824,1.14017,0.95739,0.63435,0.77107,0.55091,0.95414,1.94107,1.1059,0.00027625,0.00027625,0.00027625
12,303.026,0.94108,2.0863,1.12307,0.87242,0.73097,0.77978,0.58177,0.88567,1.78922,1.07176,0.000243175,0.000243175,0.000243175
13,328.122,0.90271,2.00693,1.10025,0.99201,0.71821,0.7917,0.61621,0.81771,1.66744,1.04398,0.0002002,0.0002002,0.0002002
14,352.493,0.8169,1.90119,1.10021,0.97476,0.7295,0.80223,0.62888,0.79228,1.62049,1.03463,0.000147325,0.000147325,0.000147325
15,377.085,0.84799,1.90591,1.03632,0.95756,0.75202,0.80349,0.63064,0.78283,1.60203,1.0282,8.455e-05,8.455e-05,8.455e-05
